dataset,target,feature,importance,importance_std,n,importance_ci95
hidden_rng,gap,pas_rng_count,0.05153512318446599,0.0033024385558227862,5,0.004100519061045194
hidden_rng,gap,rng,0.05103714740212684,0.002142843796362582,5,0.002660691995717701
hidden_rng,gap,paper_lalas_number_of_rings,0.049304360548380353,0.004893769484804458,5,0.00607641738478989
hidden_rng,gap,pas_total_rings,0.04921544730072326,0.0030173136397660264,5,0.003746489717786643
hidden_rng,gap,paper_lalas_upper_a_ratio,0.04689812110334628,0.0008125825714936294,5,0.001008954524591478
hidden_rng,gap,paper_lalas_lower_to_upper_a_ratio,0.03936910714437922,0.0009464087281324072,5,0.001175121645307826
hidden_rng,gap,pas_alternation_fraction,0.03737107722758133,0.0009093775745531352,5,0.0011291413950964896
hidden_rng,gap,paper_lalas_longest_upper_a,0.028361837104787103,0.0004801518878792704,5,0.0005961873128492614
hidden_rng,gap,branch,0.023119748805690187,0.0008937507218686473,5,0.001109738094712927
hidden_rng,gap,pas_longest_l_run,0.019378079993995323,0.0004217396203733783,5,0.0005236589032337475
hidden_rng,gap,paper_lalas_longest_l,0.019002958450726505,0.0004876683459638141,5,0.0006055202282468471
hidden_rng,gap,pas_topology_length,0.018924320675798436,0.0010813361738219924,5,0.001342656196990178
hidden_rng,gap,pas_a_fraction,0.015142045864348927,0.00040450477601861935,5,0.0005022590174837978
hidden_rng,gap,pas_total_a,0.014737758402605064,0.00150970161259684,5,0.001874542140391666
hidden_rng,gap,paper_lalas_longest_a_case_insensitive,0.014246128064622105,0.0004157828097206476,5,0.0005162625459021351
hidden_rng,gap,pas_longest_a_run,0.014081512097607635,0.0004256906712907478,5,0.0005285647809129152
hidden_rng,homo,h,0.14402739737721304,0.001312162967540542,5,0.0016292655165713083
hidden_rng,homo,c,0.12065906904554113,0.001825578950935218,5,0.0022667556592548604
hidden_rng,homo,atoms,0.11088010778697022,0.0018595654140401163,5,0.0023089554269184933
hidden_rng,homo,paper_lalas_upper_a_ratio,0.05594402108284705,0.0010651409867400785,5,0.0013225472162463909
hidden_rng,homo,pas_alternation_fraction,0.05199458157020165,0.00045098828738270947,5,0.0005599759200546842
hidden_rng,homo,paper_lalas_lower_to_upper_a_ratio,0.04713361475067228,0.0010105993710818645,5,0.0012548248556797197
hidden_rng,homo,paper_lalas_longest_upper_a,0.03122272984243995,0.0006469234195415609,5,0.0008032615196396271
hidden_rng,homo,pas_branch_density,0.028175053386038672,0.0006855540386990858,5,0.0008512277686758465
hidden_rng,homo,pas_topology_length,0.025822709115389204,0.0006377500551950518,5,0.0007918712833881608
hidden_rng,homo,branch,0.024475444244586402,0.0005609621357580246,5,0.0006965264883262329
hidden_rng,homo,pas_rng_middle_count,0.021827658208504377,0.0015087034344489724,5,0.0018733027385216651
hidden_rng,homo,pas_rng_count,0.02139026366721234,0.0016720776130069908,5,0.0020761585742732703
hidden_rng,homo,rng,0.021355843210880226,0.001302997472499865,5,0.0016178850513535845
hidden_rng,homo,paper_lalas_number_of_rings,0.021223931510200897,0.0008198092307003294,5,0.0010179276071557249
hidden_rng,homo,rings,0.021173446616292578,0.0013287599839372105,5,0.0016498734343086492
hidden_rng,homo,pas_total_rings,0.020355158906233423,0.0009285884733814004,5,0.0011529948765446815
hidden_rng,homo,pas_longest_a_run,0.01695891169641848,0.0003161310019293672,5,0.0003925284838117807
hidden_rng,homo,paper_lalas_longest_a_case_insensitive,0.01688975595436553,0.00027204343061790377,5,0.00033778653374609536
hidden_rng,homo,pas_a_fraction,0.016862821005143316,0.0004557562999681608,5,0.0005658961896250216
hidden_rng,homo,paper_lalas_lal_subsequence_count,0.016536845567558182,0.00034519948458490153,5,0.00042862177220756825
hidden_rng,lumo,c,0.16294054160207774,0.002029196432718394,5,0.0025195801557899413
hidden_rng,lumo,h,0.13452481407691394,0.0009159471951943364,5,0.0011372986565285255
