property,bin_midpoint,bin,borinine__B_1,borinine__B_2,borinine__B_3,borinine__B_4,14diborinine__B_1_4,dhdiborinine__B_1_4,borole__B_1,borole__B_2,borole__B_3,pyridine__N_1,pyridine__N_2,pyridine__N_3,pyridine__N_4,pyrazine__N_1_4,pyrrole__N_1,pyrrole__N_2,pyrrole__N_3,thiophene__S_1,thiophene__S_2,thiophene__S_3,furan__O_1,furan__O_2,furan__O_3,cyclobutadiene__none_none
gap,0.571,"(0.519, 0.623]",0.04083658818651945,0.01057190861681468,0.0030548342752405684,0.03809814746121452,0.16258264417726767,0.11163237251521962,0.06985751380130485,0.015088699295206093,0.04840821314015143,0.035676100285845204,0.009262693927425866,0.0026838901132470705,0.03085382617992974,0.09547448122367932,0.0420912522638504,0.004265857862925222,0.02798446398568592,0.04297497217918785,0.005247768879966834,0.027122564315171616,0.037432629994108534,0.0042767679853367956,0.025736978768901787,0.10878483056579895
gap,0.675,"(0.623, 0.727]",0.04216164567312551,0.010335988533943387,0.002884889244140643,0.038018062714184654,0.14527346728774473,0.11084773481069063,0.06964159385536967,0.010979116709388753,0.049750558143380835,0.03567523864649082,0.009205920454232243,0.0024622621574194024,0.031338717234916345,0.09828836029877898,0.04508328509872017,0.004557022500298595,0.029014268257949522,0.04293339948365995,0.004777523589022721,0.028876455077496945,0.03979125896934116,0.004391646683755501,0.02741563536469961,0.11629594921124924
gap,0.7789999999999999,"(0.727, 0.831]",0.04378114007981016,0.01107118059529532,0.0030443839128344815,0.03869953685688344,0.12879498859309788,0.10659921715842241,0.06935701696156751,0.008080206926545654,0.04738251653810058,0.03676913803496082,0.009766444632651972,0.002922303354926332,0.03339666262274819,0.09948802466027269,0.04575731911094834,0.004501720572863018,0.03052776951190667,0.045276626914185,0.004806921967633392,0.030375168814521483,0.041789700978933475,0.004608541061032649,0.028917832154492947,0.1242856379853656
gap,0.8825000000000001,"(0.831, 0.934]",0.044487873827226375,0.010918242984992825,0.0028918199715866066,0.03848067672914248,0.12310066562339994,0.10586513013189872,0.0689709880505095,0.007312482421917255,0.0474806550945791,0.038206638926348735,0.009951899154088572,0.002963935182848118,0.0338580916872796,0.09990120216057173,0.04708402143264079,0.005055276309431949,0.03171626991281271,0.04716334816502845,0.00544469845024411,0.030995117800197595,0.04344220326393446,0.004701911774250543,0.030108100701681007,0.11989875024338884
gap,0.986,"(0.934, 1.038]",0.044185526609944376,0.011368567784016938,0.0029588522283444892,0.03991820417395421,0.10954328472048709,0.11006930289441501,0.06857304419867706,0.00596373104690767,0.049044619491603436,0.04018778848809226,0.010053522349197165,0.002866799047907105,0.0353221203792591,0.10506555501492576,0.048518601317675526,0.005339084465368279,0.03312599450311008,0.04766382178504267,0.005286482647975488,0.03250134792157069,0.04533619136541168,0.005168128558841708,0.030377549544336756,0.11156187946293544
gap,1.0899999999999999,"(1.038, 1.142]",0.045085947213133006,0.011696738397590138,0.0034267546653965818,0.04000148451465649,0.10088514186393185,0.11026851158849253,0.0677680940687454,0.0045277697022929565,0.04731890467560262,0.04124476553946644,0.010806029603696442,0.0033525289325721072,0.03711286641223735,0.10298820429395865,0.05070854647458697,0.005232914164125467,0.03523248118068399,0.050436385454230556,0.005300954419214568,0.033611886014016296,0.04770858977293111,0.005232914164125467,0.03305519301783273,0.10699639386648027
gap,1.194,"(1.142, 1.246]",0.04558442927240576,0.011792811888840744,0.00344884121277418,0.039769999180241475,0.09405557962782964,0.10362333266971929,0.06904123385368481,0.002857443992926655,0.046960452506704456,0.0438746472110644,0.011470763897834666,0.003267323254207118,0.0387570118630769,0.10375800728414002,0.05369418322774063,0.005117635347987493,0.03743954280896113,0.052458690025880945,0.005720743403871602,0.03572390532960148,0.05053811291588106,0.0052757316344813855,0.03461137590612594,0.10115820168401822
gap,1.2974999999999999,"(1.246, 1.349]",0.046120114506733444,0.012426449409537917,0.0035739267932824283,0.03967764120831643,0.08810787615873408,0.09412124311519449,0.06546516890918816,0.0012520500114624297,0.04578505886986321,0.04549115041646828,0.012026733912920803,0.0035915613004861248,0.04131765037826018,0.10399656714926435,0.05645981389716731,0.005396159204331035,0.03952480881255107,0.05643042305182781,0.005825265546287642,0.037138272170984185,0.053514851194150045,0.0053314993445841485,0.03838444401337871,0.09904127062502571
gap,1.401,"(1.349, 1.453]",0.045561564212927196,0.01266109946167335,0.003862708310341022,0.040570699824645305,0.08212853621748888,0.08486308844988902,0.062122159683135295,0.0009319550209076752,0.04251431654588039,0.04825932874713362,0.014046769426970288,0.0040956970655679405,0.042949637641172794,0.09948006719886203,0.05925271922402482,0.005499760879961741,0.04166206820439245,0.05936308231860599,0.0060393137868030265,0.040172166427546625,0.05752982869195208,0.005757274767317809,0.04047259929612871,0.10020355859667195
gap,1.505,"(1.453, 1.557]",0.04816735155409691,0.012982983535122315,0.004088640061777765,0.041100140654733996,0.08178659091535895,0.07929065887090102,0.053862489312998155,0.0006343252709672081,0.036363385642185386,0.048636200667420505,0.014189580517940373,0.004205852340108663,0.045106042637689955,0.09703108193827739,0.061260652527648306,0.0056882429189994204,0.043065170026751975,0.06348079097603354,0.00601919523428666,0.04320996166469015,0.06136407512617557,0.006012300394384842,0.042748007391268376,0.09970627982018257
