property,bin_midpoint,bin_left,bin_right,molecule_count,b,n,o,s
gap,0.986,0.934,1.038,33566,0.3040506337002289,0.2581990461151882,0.2143782762859046,0.22337204389867843
gap,1.0899999999999999,1.038,1.142,36381,0.290112402898625,0.256419811022909,0.22397022645032086,0.22949755962814508
gap,1.194,1.142,1.246,39708,0.27274482450642895,0.25918817616586415,0.2312394705214238,0.2368275288062829
gap,1.2974999999999999,1.246,1.349,41103,0.2511837063184688,0.2603146040311076,0.24325681554314635,0.24524487410727727
gap,1.401,1.349,1.453,41068,0.2312572273413073,0.25763693773428026,0.2551088483610231,0.2559969865633895
gap,1.505,1.453,1.557,37757,0.21629128354949784,0.2524697963849081,0.2643786561767961,0.2668602638887979
gap,1.6084999999999998,1.557,1.66,33465,0.20320442774758096,0.2476350631041508,0.27654974841539826,0.27261076073287005
gap,1.712,1.66,1.764,28138,0.17448891283801785,0.2534669508974182,0.2920140342783479,0.2800301019862162
gap,1.816,1.764,1.868,22609,0.1369128207860058,0.26840856169350896,0.3015433744615741,0.29313524305891114
gap,1.92,1.868,1.972,18135,0.10510599820173229,0.27667128734678026,0.3188191755842298,0.2994035388672578
gap,2.0235000000000003,1.972,2.075,14753,0.07861564048881062,0.26814860591053746,0.33748619552639475,0.3157495580742571
gap,2.127,2.075,2.179,12181,0.05907288393931875,0.25204912595477647,0.3531961262399554,0.33568186386594945
gap,2.231,2.179,2.283,9865,0.04548330978478654,0.22856383633063182,0.37661746081626846,0.3493353930683131
gap,2.335,2.283,2.387,7071,0.034881364866271365,0.19731169190565445,0.4089899022374774,0.35881704099059675
gap,2.4385000000000003,2.387,2.49,4558,0.023614928867723133,0.16644618735623162,0.43681275620997395,0.37312612756607133
aip,10.9565,10.912,11.001,3300,0.41950821760219936,0.2006113709888549,0.16278102687814439,0.21709938453080121
aip,11.045,11.001,11.089,4668,0.41083662773317364,0.1992970390836692,0.1683753616641471,0.22149097151901018
aip,11.133,11.089,11.177,6829,0.3942201975308055,0.20203707996424086,0.1768517577215375,0.2268909647834161
aip,11.221,11.177,11.265,9374,0.378015552128265,0.2039778504018208,0.18125712631087965,0.2367494711590345
aip,11.3085,11.265,11.352,12496,0.3670893079785168,0.2047140917764997,0.19468390744917255,0.2335126927958109
aip,11.396,11.352,11.44,15851,0.35466908104903566,0.20831629777660843,0.20256926818147472,0.23444535299288116
aip,11.484,11.44,11.528,19310,0.3387973949834514,0.21387662331805327,0.20501293413558355,0.2423130475629117
aip,11.572,11.528,11.616,23079,0.32899321818696187,0.2175959924157787,0.21175015131083985,0.24166063808641966
aip,11.66,11.616,11.704,26399,0.3113430226641168,0.2248750587833389,0.21582134697585265,0.24796057157669152
aip,11.748000000000001,11.704,11.792,30475,0.2941717481712502,0.23055576260423574,0.2247633156441975,0.2505091735803166
aip,11.836,11.792,11.88,34192,0.2726356543470545,0.23973295825007127,0.23424386223046442,0.2533875251724097
aip,11.9235,11.88,11.967,38121,0.25640129133053347,0.24773478520151535,0.24283346098940375,0.25303046247854744
aip,12.011,11.967,12.055,41570,0.2352723974091698,0.2538762186390449,0.24575044013715683,0.26510094381462845
aip,12.099,12.055,12.143,44093,0.21814691259866037,0.26522620111643885,0.25214381590904655,0.26448307037585417
aip,12.187000000000001,12.143,12.231,45820,0.20378337268617105,0.2702452952742301,0.26041725968463403,0.26555407235496487
aip,12.275,12.231,12.319,43836,0.18794231068858555,0.27737673819859926,0.27113278716549505,0.26354816394732017
aip,12.363,12.319,12.407,38400,0.18180189808172834,0.28083466633027576,0.2849963691416783,0.2523670664463177
aip,12.451,12.407,12.495,29981,0.17516850688290195,0.283066980862867,0.29639453470594695,0.24536997754828407
aip,12.538499999999999,12.495,12.582,20931,0.1681204699601338,0.28263258414018483,0.31423180159764047,0.23501514430204096
