property,bin_midpoint,bin_left,bin_right,molecule_count,cyclobutadiene,borinine,14diborinine,dhdiborinine,borole,pyridine,pyrazine,pyrrole,furan,thiophene
lumo,-9.777000000000001,-9.823,-9.731,13148,0.09311007325721248,0.06611892972618359,0.04587557207791194,0.21199293981662268,0.17216225925868076,0.0962028084534762,0.1276299964074288,0.04425110510613705,0.07425688445978663,0.06839943143655988
lumo,-9.6845,-9.731,-9.638,17770,0.09059587020648968,0.06978171091445427,0.05371091445427729,0.1959410029498525,0.15936283185840708,0.10101474926253687,0.13238938053097346,0.05000589970501475,0.07799410029498526,0.06920353982300885
lumo,-9.591999999999999,-9.638,-9.546,24478,0.08857756691433175,0.07514994181362457,0.05898308119237311,0.18343926237579447,0.149449467370871,0.10337480977531108,0.1320293617402202,0.054471399158535494,0.08049413660370602,0.0740309730552323
lumo,-9.4995,-9.546,-9.453,31737,0.08800259403372244,0.07908200028822597,0.06851131286928952,0.1637051448335495,0.1470745064130278,0.1043522121343133,0.12311572272661767,0.05922323101311428,0.08590575010808474,0.08102752558005476
lumo,-9.407,-9.453,-9.361,37402,0.09037595298404102,0.08543478532123829,0.07418614227069113,0.1403678424815642,0.14276356013625643,0.10482512508890358,0.11653544289582371,0.06826547546261058,0.08944012577517688,0.08780554758369415
lumo,-9.3145,-9.361,-9.268,39865,0.09411408595321895,0.09088535020506033,0.08322303797919127,0.11749274424733065,0.14052122715699134,0.10181794441114152,0.11022808881397378,0.07927614593410767,0.09038086024441055,0.09206051505457394
lumo,-9.222000000000001,-9.268,-9.176,40986,0.09664391488155688,0.09433527786306417,0.09135943884178456,0.09876951418247089,0.13295623627217118,0.10234760633900947,0.1064039583382537,0.0869960558324083,0.09316029380505893,0.09702770364422192
lumo,-9.1295,-9.176,-9.083,39272,0.10254923597733182,0.10027992344187381,0.09835350153677345,0.08147081377298146,0.12152043939875687,0.10352803286762552,0.10316643911197561,0.09617147025267922,0.09382111084095486,0.09913903279904739
lumo,-9.036999999999999,-9.083,-8.991,36624,0.10947866335056891,0.10719489302874027,0.10400303599140706,0.06314591056023529,0.10516186306865542,0.10602928918495828,0.10421311575394916,0.1032237078400412,0.09593868381640384,0.10161083740504055
lumo,-8.9445,-8.991,-8.898,33382,0.11790840223497343,0.11171854997816232,0.1124263919637344,0.04761366888055543,0.08496362897031581,0.10782541905751593,0.10506182322022922,0.10967785659422581,0.099090347746201,0.10371391135408665
lumo,-8.852,-8.898,-8.806,30748,0.1264016225157306,0.11610296990200071,0.11995145752117499,0.03242537840690899,0.06524142402353977,0.11257865294621261,0.10117449524965297,0.11479797518016407,0.10323588818605733,0.10809013606855794
lumo,-8.7595,-8.806,-8.713,28293,0.128929418742586,0.12117252372479241,0.1239435053380783,0.020685053380782917,0.04529952550415184,0.11872590450771056,0.09671559905100831,0.11775281731909845,0.1123313315539739,0.11444432087781732
lumo,-8.667,-8.713,-8.621,26460,0.1279721493399761,0.12733917979397863,0.13006503251625812,0.012424579636757154,0.030576512746169,0.12042756071913507,0.08272503598738144,0.12494002103092362,0.1181713305632408,0.12535859766618002
